freewifi_name,freewifi_address,freewifi_latitude,freewifi_longitude,freewifi_status
MEL-0001,Docklands Dr (South),-37.814671,144.938586,FUTURE
MEL-0008,Victor Habour Prom,-37.815686,144.939954,FUTURE
MEL-0051,Elizabeth St & Bourke St,-37.814409,144.963048,UP
MEL-0083,179 Collins Street,-37.815209,144.967911,UP
MEL-0203,Queens Bridge,-37.821666,144.961152,UP
MEL-0246,King St,-37.811853,144.953493,UP
MEL-0283,201 Russell Street,-37.811786,144.967491,UP
MEL-0301,S/E Corner Lonsdale And Exhibition Streets,-37.810176,144.969844,FUTURE
MEL-0372,Collins St,-37.818856,144.954272,UP
MEL-0377,Docklands Dr (North),-37.814173,144.938991,FUTURE
MEL-0403,La Trobe St,-37.812228,144.954318,UP
MEL-0454,Se  Corner Of Swanston St And Pelham St,-37.8026559,144.963798,UP
MEL-0726,Exhibition St,-37.808624,144.968855,FUTURE
MEL-1002,Sw Corner Flinders Lane & Elizabeth Street ,-37.8153517,144.963528,UP
MEL-1004,40 -50 Queen St,-37.8176755,144.962072,UP
MEL-1009,233 Collins Street ,-37.8157655,144.965997,FUTURE
MEL-1012,Oustide 1 Collins Street ,-37.8134902,144.973724,FUTURE
MEL-1023,Opposite 48 Nicholson Street ,-37.8055503,144.973469,UP
MEL-0014,Harbour Esp,-37.814895,144.944722,UP
MEL-0015,Corner Of Harbour And Latrobe St,-37.815059,144.94542,UP
MEL-0016,Latrobe St,-37.814718,144.946493,UP
MEL-0017,Harbour Esp,-37.816378,144.945281,UP
MEL-0022,S/W Corner Of Latrobe And Spencer St,-37.81332,144.951311,UP
MEL-0025,Spencer St,-37.815947,144.952891,UP
MEL-0026,Spencer St & Bourke St,-37.817134,144.953501,UP
MEL-0028,Bourke St,-37.816502,144.955676,UP
MEL-0029,King St,-37.815934,144.955639,UP
MEL-0030,King St,-37.814768,144.955139,UP
MEL-0031,Lt Collins St & King St,-37.817415,144.956375,UP
MEL-0035,Bourke St,-37.816143,144.956987,UP
MEL-0037,William St,-37.815144,144.958134,UP
MEL-0038,Se Corner Of Bourke St & William St,-37.815699,144.95846,UP
MEL-0042,Bourke St,-37.815411,144.958768,UP
MEL-0044,Lt Collins St,-37.816213,144.960344,UP
MEL-0045,Lt Collins St,-37.816099,144.960778,UP
MEL-0046,Se Corner Of Little Collins St & Queen St,-37.816019,144.961351,UP
