id,name,address,status,latitude,longitude
WIFI-1,MEL-0001,Docklands Dr (South),FUTURE,-37.814671,144.938586
WIFI-2,MEL-0008,Victor Habour Prom,FUTURE,-37.815686,144.939954
WIFI-3,MEL-0051,Elizabeth St & Bourke St,UP,-37.814409,144.963048
WIFI-4,MEL-0083,179 Collins Street,UP,-37.815209,144.967911
WIFI-5,MEL-0203,Queens Bridge,UP,-37.821666,144.961152
WIFI-6,MEL-0246,King St,UP,-37.811853,144.953493
WIFI-7,MEL-0283,201 Russell Street,UP,-37.811786,144.967491
WIFI-8,MEL-0301,S/E Corner Lonsdale And Exhibition Streets,FUTURE,-37.810176,144.969844
WIFI-9,MEL-0372,Collins St,UP,-37.818856,144.954272
WIFI-10,MEL-0377,Docklands Dr (North),FUTURE,-37.814173,144.938991
WIFI-11,MEL-0403,La Trobe St,UP,-37.812228,144.954318
WIFI-12,MEL-0454,Se  Corner Of Swanston St And Pelham St,UP,-37.8026559,144.963798
WIFI-13,MEL-0726,Exhibition St,FUTURE,-37.808624,144.968855
WIFI-14,MEL-1002,Sw Corner Flinders Lane & Elizabeth Street ,UP,-37.8153517,144.963528
WIFI-15,MEL-1004,40 -50 Queen St,UP,-37.8176755,144.962072
WIFI-16,MEL-1009,233 Collins Street ,FUTURE,-37.8157655,144.965997
WIFI-17,MEL-1012,Oustide 1 Collins Street ,FUTURE,-37.8134902,144.973724
WIFI-18,MEL-1023,Opposite 48 Nicholson Street ,UP,-37.8055503,144.973469
WIFI-19,MEL-0014,Harbour Esp,UP,-37.814895,144.944722
WIFI-20,MEL-0015,Corner Of Harbour And Latrobe St,UP,-37.815059,144.94542
WIFI-21,MEL-0016,Latrobe St,UP,-37.814718,144.946493
WIFI-22,MEL-0017,Harbour Esp,UP,-37.816378,144.945281
WIFI-23,MEL-0022,S/W Corner Of Latrobe And Spencer St,UP,-37.81332,144.951311
WIFI-24,MEL-0025,Spencer St,UP,-37.815947,144.952891
WIFI-25,MEL-0026,Spencer St & Bourke St,UP,-37.817134,144.953501
WIFI-26,MEL-0028,Bourke St,UP,-37.816502,144.955676
WIFI-27,MEL-0029,King St,UP,-37.815934,144.955639
WIFI-28,MEL-0030,King St,UP,-37.814768,144.955139
WIFI-29,MEL-0031,Lt Collins St & King St,UP,-37.817415,144.956375
