furniture_id,furniture_description,furniture_class,furniture_type,furniture_location,furniture_latitude,furniture_longitude
1075493,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"King Street between Bourke Street and Little Bourke Street approximately 4m West of Lord of the Fries, 184 King Street, Melbourne, 3000",-37.81573650863262, 144.95557617927093
1075947,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Errol Street and Curzon Street approximately 16m South of Unit 2, 66 Curzon Street, North Melbourne, 3051",-37.80280211887129, 144.94833234426707
1075949,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Leveson Street and Errol Street approximately 11m South of The Court House Hotel, Court House Hotel, 86-90 Errol Street, North Melbourne, 3051",-37.80296568173825, 144.9498380533202
1075950,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Errol Street and Curzon Street approximately 8m NW of 7-Eleven, 83 Errol Street, North Melbourne, 3051",-37.80313455126292, 144.94937680211217
1075951,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Leveson Street and Errol Street approximately 21m North of Australian Postal Corporation, Ground, 72-82 Errol Street, North Melbourne, 3051",-37.80318270915577, 144.94979286737458
1075953,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Leveson Street and Errol Street approximately 4m North of Sokol Melbourne Inc, 497 Queensberry Street, North Melbourne, 3051",-37.80328446721802, 144.95074637727328
1075956,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Errol Street between Victoria Street and Queensberry Street approximately 6m NW of Andrew Harris Optometrist, Ground, 56 Errol Street, North Melbourne, 3051",-37.80378247601027, 144.9496085253524
1075957,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Errol Street between Victoria Street and Queensberry Street approximately 9m SW of Errol Street Spinal & Sports Physiotherapy, 52 Errol Street, North Melbourne, 3051",-37.8039553418335, 144.9495786433358
1075958,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Errol Street between Victoria Street and Queensberry Street approximately 6m SE of Parkhill Cellars, 45 Errol Street, North Melbourne, 3051",-37.80401156107465, 144.94933459771323
1075959,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Errol Street between Victoria Street and Queensberry Street approximately 7m NE of Westpac Banking Corporation, 55-57 Errol Street, North Melbourne, 3051",-37.80372744337953, 144.94938766105017
1075961,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"King Street between Roden Street and Victoria Street approximately 12m East of Hawke & King Street Reserve, Hawke Street, West Melbourne, 3003",-37.80542463219624, 144.9492016903586
1075962,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Chetwynd Street between Victoria Street and Queensberry Street approximately 9m North of Bundaleer, 176 Chetwynd Street, North Melbourne, 3051",-37.803532317330664, 144.95267523734267
1075963,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Leicester Street between Berkeley Street and Queensberry Street approximately 33m West of Australian Manufacturing Workers Union, 233-251 Queensberry Street, Carlton, 3053",-37.80450821417507, 144.9603930560018
1075966,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Abbotsford Street between Haines Street and Wood Street approximately 5m NW of 9 Face Thai Cuisine, 362 Abbotsford Street, North Melbourne, 3051",-37.798104183254694, 144.94646487697037
1075967,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Abbotsford Street between Haines Street and Wood Street approximately 10m NW of North Melbourne Wine & Gourmet, 48 Haines Street, North Melbourne, 3051",-37.79827945949697, 144.94643889872734
1075968,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Haines Street between Curzon Street and Abbotsford Street approximately 4m South of Quick7 Convenience, 46 Haines Street, North Melbourne, 3051",-37.79837843271427, 144.94660049354798
1075969,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Parliament Place between St Andrews Place and Gisborne Street approximately 18m West of National Trust of Australia (Victoria), 2-8 Parliament Place, East Melbourne, 3002",-37.811729864243404, 144.97532646144535
