id,class,type,location,reference,latitude,longitude
1110846,Outdoor Furniture,Barbeque,Princes Park,Princes Park,-37.785038996971224, 144.96222644314096
1110847,Outdoor Furniture,Barbeque,Princes Park,Princes Park,-37.78507620578955, 144.96242901615196
1110848,Outdoor Furniture,Barbeque,Royal Park,Royal Park,-37.786811624350314, 144.95295080957254
1110849,Outdoor Furniture,Barbeque,Bayswater Road Park,"41m South of 39 Bayswater Road, Kensington, 3031",-37.79375198566206, 144.92404057125708
1110855,Outdoor Furniture,Barbeque,Birrarung Marr,Birrarung Marr,-37.819821342236914, 144.97480170753713
1110856,Outdoor Furniture,Barbeque,Birrarung Marr,Birrarung Marr,-37.82009381572264, 144.97510314880833
1110857,Outdoor Furniture,Barbeque,Royal Park,"56m North of City of Melbourne, Ross Straw Field Pavilion, Royal Park, Oak Street, Parkville, 3052",-37.783058736135814, 144.94436043862848
1110859,Outdoor Furniture,Barbeque,Royal Park,"92m NW of City of Melbourne, Ross Straw Field Pavilion, Royal Park, Oak Street, Parkville, 3052",-37.78291658834687, 144.94362553123742
1110861,Outdoor Furniture,Barbeque,Fawkner Park,"89m North of City of Melbourne, Southern Pavilion, Fawkner Park, Commercial Road, South Yarra, 3141",-37.842387153356434, 144.98190820378719
1110868,Outdoor Furniture,Barbeque,Alexandra Park,Alexandra Park,-37.82785043366638, 144.98340504092684
1110870,Outdoor Furniture,Barbeque,Alexandra Park,Alexandra Park,-37.82773337690019, 144.98268472258306
1118699,Outdoor Furniture,Picnic Setting,Princes Park,Princes Park,-37.785189234976876, 144.9622323086609
1118700,Outdoor Furniture,Picnic Setting,Bayswater Road Park,"33m NE of Unit 2, 57 Bayswater Road, Kensington, 3031",-37.79385027610928, 144.92388053542476
1118701,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.78685834881582, 144.95276147717357
1118702,Outdoor Furniture,Picnic Setting,Princes Park,Princes Park,-37.78521213381399, 144.96231616098524
1118703,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.78705608831486, 144.95303229389955
1118704,Outdoor Furniture,Picnic Setting,Bayswater Road Park,"16m NE of Unit 2, 57 Bayswater Road, Kensington, 3031",-37.793893281752496, 144.92368741034468
1118705,Outdoor Furniture,Picnic Setting,J J Holland Park,"42m South of Altona Street Reserve, 74 Altona Street, Kensington, 3031",-37.79768695756987, 144.92602506898973
1118706,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.78680778557567, 144.95280772585832
1118707,Outdoor Furniture,Picnic Setting,Princes Park,Princes Park,-37.78504094245493, 144.96237014389507
1118711,Outdoor Furniture,Picnic Setting,Royal Park,"86m NW of City of Melbourne, Ross Straw Field Pavilion, Royal Park, Oak Street, Parkville, 3052",-37.782907740490316, 144.9437639623475
1118713,Outdoor Furniture,Picnic Setting,Princes Park,Princes Park,-37.785035931810725, 144.9622940895331
1118714,Outdoor Furniture,Picnic Setting,Royal Park,"79m NE of Winterville, 323 Flemington Road, North Melbourne, 3051",-37.79110282733468, 144.94502179165377
1118716,Outdoor Furniture,Picnic Setting,J J Holland Park,"51m South of Altona Street Reserve, 74 Altona Street, Kensington, 3031",-37.79776015606662, 144.9260570922444
