monument_id,monument_type,monument_name,monument_address,monument_artist,monument_date,monument_author,monument_structure,monument_latitude,monument_longitude
MONUM-1,Fountain,Coles Fountain,"517 Albert Street, EAST MELBOURNE",Robert Woodward,1981,City Of Melbourne,Stainless-steel fountain on bluestone paving,-37.8097706189194,144.973483976518
MONUM-2,Art,Port Phillip Monument,"178 Sims Street, WEST MELBOURNE",unknown,1941,City Of Melbourne,Basalt monument,-37.8056957854241,144.907291041632
MONUM-3,Monument,Black Swan Memorial Drinking Fountain,"Alexandra Gardens, St Kilda Road, MELBOURNE",Raymond B. Ewers,1974,City Of Melbourne,Bluestone drinking fountain with bronze plaque,-37.8195705617737,144.971824407255
MONUM-4,Art,Blowhole,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8220182164578,144.946871022845
MONUM-5,Art,Bird Panels,76 Canning Street,Di Christensen and Bernice McPherson,1995,City Of Melbourne,Stainless-steel panels,-37.7953526839703,144.940687314302
MONUM-6,Art,Bandstand,"200 Little Collins Street, MELBOURNE",George Dodd,1864,City Of Melbourne,Concrete bandstand,-37.8140548689972,144.96733868317
MONUM-7,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8186973319473,144.974158800684
MONUM-8,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8186738864394,144.974167165492
MONUM-9,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8186882333343,144.974128540287
MONUM-10,Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8219107218802,144.946765134735
MONUM-11,Art,Coat of Arms,"98 Swanston Street, MELBOURNE",City of Melbourne,1992,City Of Melbourne,Brass pavement inlay,-37.8151582937289,144.966495940551
