id,address,reference,description,latitude,longitude
8457,Queensberry Street,Between Lothian Street and Dryburgh Street,3P DIS ONLY M-SUN 7:30am-6:30pm   ,-37.80252188,144.9439773
595,Nicholson Street,Between Kay Street and Princes Street,P DIS ONLY 20.30 - 23.592P DIS 7.30 - 8.30PM  ,-37.79433556,144.9753764
8456,Queensberry Street,Between Lothian Street and Dryburgh Street,3P DIS ONLY M-SUN 7:30am-6:30pm   ,-37.80252973,144.9440485
6615,Bent Street,Between Chelmsford Street and Hardiman Street,2P Disabled Only   ,-37.79609508,144.9351518
6081,Flinders Lane,Between Swanston Street and Elizabeth Street,2P DIS M-SAT 7:30-18:30   ,-37.81700912,144.9652259
2305,Georgiana Street,Between McCrae Street and Collins Street,2P DIS AOT 0:00-7:002P DIS AOT 0:00-23:592P DIS AOT 9:30-23:59 ,-37.82171016,144.9504441
690,Station Street,Between Kay Street and Princes Street,4P DIS 7.30-8.30P DIS ONLY 20.30 - 23.59  ,-37.79505341,144.9743352
6087,Road Seg Desc unknown,Road Seg Desc unknown,P DIS Sun 00:00 - 11:59PMP DIS M-Sat 6.30-11.592P DIS M-SAT 7:30-18:30 ,-37.82099149,144.98818
6181,Molesworth Street,Between Harker Street and Abbotsford Street,P DIS Sun 00:00 - 11:59PMP DIS M-Sat 6.30-11.592P DIS M-SAT 7:30-18:30 ,-37.79794095,144.948589
2708,Kensington Road,Between Mercantile Parade and Hobsons Road,2P DIS M-F 9.00-18.30   ,-37.79778162,144.9214577
5085,Road Seg Desc unknown,Road Seg Desc unknown,4P DIS ONLY M-SUN   ,-37.82113435,144.9880012
4668,Miller Street,Between Curzon Street and Abbotsford Street,4P DIS M-F 7.30-6.304P DIS SAT 7.30-12.30  ,-37.80571598,144.9457526
3717,Domain Road,Between Marne Street and Walsh Street,1P DIS M-SUN 7:00-18:30   ,-37.83452521,144.9851954
3285,Queensberry Street,Between Curzon Street and Abbotsford Street,2P DIS ONLY   ,-37.8025768,144.9461671
4244,Lorimer Street,Between West Gate Bridge and Todd Road,4P DIS ONLY M-SUN   ,-37.82399676,144.9075079
5084,Stanley Street,Between Railway Place and Adderley Street,4P DIS ONLY M-SUN   ,-37.810402,144.9455107
