sensor_description,sensor_latitude,sensor_longitude,sensor_avg_count,sensor_category
Little Collins St - Swanston St (East),-37.81414074,144.9660938,375,high
Flinders La - Swanston St (West),-37.81668633,144.96689733,1062,high
Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,509,high
State Library - New,-37.81057845,144.96444294,473,high
Melbourne Central - Elizabeth St (East),-37.81160331,144.96220077,496,high
Melbourne Central,-37.81101523,144.96429485,300,high
Collins Street (North),-37.8156419,144.965499,333,high
Flinders Street Station Underpass,-37.81911704,144.96558256,590,high
Town Hall (West),-37.81487988,144.9660878,770,high
Princes Bridge,-37.81874249,144.96787656,793,high
Bourke Street Mall (South),-37.81380667,144.96516719,370,high
Bourke Street Mall (North),-37.8134944,144.96515324,635,high
Bourke St - Spencer St (North),-37.81686074,144.95358075,323,high
QV Market - Elizabeth St (West),-37.80869542,144.96049404,305,high
Australia on Collins,-37.81573423,144.96521044,596,high
Flinders St - Elizabeth St (East),-37.81786445,144.96506823,805,high
Spencer St - Collins St (North),-37.81887962,144.95449198,392,high
The Arts Centre,-37.82129924,144.96879309,553,high
Bourke St - Russell St (West),-37.81244703,144.96778757,311,high
