sensor_description,sensor_latitude,sensor_longitude,sensor_avg_count,sensor_category
Elizabeth St - La Trobe St (East),-37.80988941,144.96134331,0,low
Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954,0,low
Royal Pde - Grattan St,-37.79949544,144.95792282,93,low
Alfred Place,-37.81379749,144.96995745,62,low
State Library,-37.81064378,144.96447132,0,low
Flinders Ln - Degraves St (Crossing),-37.81687225,144.96559145,94,low
Westwood Place,-37.81235775,144.97136962,29,low
Flinders St - Spring St (West),-37.81483252,144.97454056,0,low
Flagstaff Station,-37.81239679,144.95652653,0,low
Flinders St - Swanston St (West),-37.81723437,144.96715033,0,low
City Square,-37.81573742,144.96685718,0,low
Pelham St (South),-37.80240719,144.96156731,34,low
Grattan St - Swanston St (West),-37.80008565,144.96386412,84,low
Flinders St - Spark La,-37.81537985,144.9741505,50,low
Waterfront City,-37.81564989,144.93970695,42,low
QVM - Therry St (South),-37.80730067,144.95956055,93,low
QV Market - Peel St,-37.80606888,144.95644693,83,low
Tin Alley - Swanston St (West),-37.79690473,144.96440378,37,low
QVM - Franklin St (North),-37.80841814,144.95906317,85,low
Victoria Point,-37.81876473,144.94710545,51,low
Monash Rd - Swanston St (West),-37.79844525,144.96411782,85,low
Bourke St - Spencer St (South),-37.81695684,144.95415373,48,low
Spring St - Flinders st (West),-37.81515275,144.97467662,36,low
Lincoln - Swanston (West),-37.804024,144.963084,49,low
Macaulay Rd - Bellair St,-37.79453802,144.93036194,44,low
Harbour Esplanade (West) - Bike Path,-37.81471642,144.9446508,19,low
Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,87,low
