id,theme,subTheme,name,latitude,longitude
PLAC-1,Transport,Railway Station,Flemington Bridge Railway Station,-37.7881645889621, 144.939277838304
PLAC-2,Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),-37.8142591432011, 144.966638432727
PLAC-3,Place Of Assembly,Library,The Melbourne Athenaeum Library,-37.8148855756416, 144.967291289941
PLAC-4,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,-37.8060684577258, 144.971266479841
PLAC-5,Place of Worship,Church,St Francis Church,-37.8118847831837, 144.962422614541
PLAC-6,Place of Worship,Church,Wesley Church,-37.8101576446961, 144.968168215633
PLAC-7,Place of Worship,Church,St Augustines Church,-37.8169741358546, 144.954862000132
PLAC-8,Place of Worship,Church,St James Church,-37.8101281201969, 144.952468571683
PLAC-9,Place of Worship,Church,St Mary's Anglican Church,-37.8031663672997, 144.953761537074
PLAC-10,Place of Worship,Church,Romanian Orthodox,-37.8052307297468, 144.966986444597
PLAC-11,Place of Worship,Church,Welsh Presbyterian Church,-37.8104478768313, 144.959873260087
PLAC-12,Place of Worship,Church,Church of Christ,-37.8104524079085, 144.96388920294
PLAC-13,Place of Worship,Church,Scots Church,-37.8145687802664, 144.96855105335
PLAC-14,Place of Worship,Church,St Michael's Uniting Church,-37.8143851324913, 144.969174036096
PLAC-15,Place of Worship,Church,Greek Orthodox Church,-37.8088064667555, 144.978259089269
PLAC-16,Place of Worship,Church,St Peter's Eastern Hill,-37.8097086714637, 144.975259178609
PLAC-17,Place of Worship,Church,Lutheran Trinity Church,-37.8109757054396, 144.975729473552
PLAC-18,Place of Worship,Church,Holy Trinity,-37.8140667110854, 144.983197322289
PLAC-19,Place of Worship,Church,St Johns Lutheran Church,-37.8209399677168, 144.967121099857
PLAC-20,Place of Worship,Church,North Melbourne Uniting,-37.8035538471344, 144.947671538375
PLAC-21,Place of Worship,Church,Melbourne Unitarian Church,-37.8114487773394, 144.984664890999
PLAC-22,Place of Worship,Church,All Nations Uniting Church,-37.7959155303946, 144.968981110942
PLAC-23,Place of Worship,Church,Our Lady of Lebanon Church,-37.8025766539683, 144.969334720932
PLAC-24,Place of Worship,Church,St Michaels,-37.7940512679297, 144.945399480629
PLAC-25,Place of Worship,Church,Ukranian Catholic Cathedral,-37.7963084580345, 144.944313454028
PLAC-26,Place of Worship,Church,St Alban Anglican Church,-37.7942169477929, 144.94161451392
PLAC-27,Place of Worship,Church,Christ Church Kensington,-37.7932109480553, 144.92729572288
PLAC-28,Place of Worship,Church,Holy Rosary,-37.7948087414394, 144.928362125005
PLAC-29,Place of Worship,Church,Collins Street Baptist Church,-37.8147011904647, 144.968072486031
PLAC-30,Place of Worship,Church,St Thomas Aquinas Church,-37.8353076902578, 144.976809080472
PLAC-31,Place of Worship,Church,South Yarra Presbyterian Church,-37.8407473645397, 144.98562699348
PLAC-32,Place of Worship,Church,The Parish of Christ Church South Yarra,-37.8386270533576, 144.986009385387
PLAC-33,Health Services,Private Hospital,Melbourne Private Hospital,-37.7983111309698, 144.95728837725
PLAC-34,Place of Worship,Synagogue,East Melbourne Synagogue,-37.809113728917, 144.97422190954
PLAC-35,Community Use,Police Station,Victoria Police,-37.8164849024046, 144.966486801188
PLAC-36,Community Use,Police Station,Victoria Police,-37.8003121288849, 144.954697453742
PLAC-37,Community Use,Police Station,Victoria Police,-37.8219773910249, 144.953398014034
PLAC-38,Community Use,Visitor Centre,Melbourne Visitor Booth,-37.8139525061193, 144.964425882562
PLAC-39,Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.7857860016289, 144.947580972027
PLAC-40,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,-37.800410711209, 144.960398319302
PLAC-41,Transport,Transport Terminal,Port of Melbourne,-37.8137384362671, 144.91753432375
PLAC-42,Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,-37.7819171308558, 144.956309119368
PLAC-43,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,-37.8116929882498, 144.987275671763
PLAC-44,Community Use,Cemetery,Melbourne General Cemetery,-37.7891890023616, 144.965785979892
PLAC-45,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,-37.7840864379557, 144.961967841559
PLAC-46,Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,-37.7834303940347, 144.961982577553
PLAC-47,Retail,Retail,Queen Victoria Market,-37.8075002018073, 144.957158515056
PLAC-48,Education Centre,Primary Schools,Carlton Gardens Primary School,-37.8020953835112, 144.969406272035
PLAC-49,Education Centre,Primary Schools,Carlton Primary School,-37.7959079757171, 144.970147317976
PLAC-50,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,-37.8017690847403, 144.971997551189
PLAC-51,Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.8077644149636, 144.965463853978
PLAC-52,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,-37.8255239795833, 144.974107925144
PLAC-53,Education Centre,Secondary Schools,Melbourne Grammar School,-37.8342561018747, 144.976285045233
