id,name,address,suburb,postcode,businessCategory,localGoverArea,region,latitude,longitude
RECRE-1,ARPA Over 50s Assocation Ltd,"2nd Floor, Block Court",Melbourne,3000,Recreation Group,Melbourne,North and West Metropolitan Region,-37.81566,144.96451
RECRE-2,Bakpak Group,18 Anthony Street,Melbourne,3000,Recreation Group,Melbourne,North and West Metropolitan Region,-37.80905,144.95921
RECRE-3,Craft Victoria,31 Flinders Lane,Melbourne,3000,Recreation Group,Melbourne,North and West Metropolitan Region,-37.81463,144.97331
RECRE-4,International Exchange Programs,"Level 3, 362 La Trobe Street",Melbourne,3000,Recreation Group,Melbourne,North and West Metropolitan Region,-37.81057,144.9591
RECRE-5,Skate Warehouse,345 Lonsdale Street,Melbourne,3000,Recreation Group,Melbourne,North and West Metropolitan Region,-37.81247,144.96278
RECRE-6,Parks Victoria,"Level 10, 535 Bourke Street",Melbourne,3000,"Recreation Group,State body",Melbourne (C),North and West Metropolitan Region,-37.81595,144.95769
RECRE-7,The Nomads Outdoors Group Inc,PO Box 56,Melbourne,8009,"Bicycle Club,Canoe/Kayak Club,Recreation Group,Walking Club/Group",Melbourne (C),North and West Metropolitan Region,-37.81438,144.9728
RECRE-8,Rentabike and Real Melbourne Bike Tours,Docklands Drive,Melbourne,3000,"Bicycle Club,Recreation Group",Melbourne (C),North and West Metropolitan Region,-37.81445,144.93833
RECRE-9,Kids Under Kanvas,148 Lonsdale Street,Melbourne,3000,"Disability,Recreation Group",Melbourne,North and West Metropolitan Region,-37.80981,144.9681
RECRE-10,Council on the Ageing,"4th Floor, Block Arcade",Melbourne,3000,"Recreation Group,State body,Strength Training",Melbourne,North and West Metropolitan Region,-37.8158,144.96469
