station_id,station_name,station_latitude,station_longitude,station_infoDisplay,station_hearingLoop,station_lift
Alamein,Alamein,-37.86884299999997,145.07955800000002,No,No,No
Albion,Albion,-37.77765599999998,144.82470999999998,Dot Matrix,No,No
Alphington,Alphington,-37.77839599999999,145.031251,Dot Matrix,No,No
Altona,Altona,-37.86724899999996,144.830604,LCD,No,No
Anstey,Anstey,-37.761897999999974,144.96056099999998,No,No,No
Armadale,Armadale,-37.856434999999976,145.01937400000008,Dot Matrix,No,No
Ascot Vale,Ascot Vale,-37.775420999999994,144.92188399999998,No,No,No
Ashburton,Ashburton,-37.861767999999984,145.081416,No,No,No
Aspendale,Aspendale,-38.02704499999999,145.10200700000007,No,No,No
Auburn,Auburn,-37.82241099999999,145.045617,No,No,No
Balaclava,Balaclava,-37.86974699999996,144.993516,Dot Matrix,No,No
Batman,Batman,-37.73345899999998,144.96274700000004,No,No,No
Baxter,Baxter,-38.194222999999965,145.160487,No,No,No
Bayswater,Bayswater,-37.84186299999999,145.26826700000004,LCD,Yes,Yes
Beaconsfield,Beaconsfield,-38.050928,145.36604499999999,No,No,No
Belgrave,Belgrave,-37.90909899999997,145.35529100000008,Dot Matrix,No,No
Bell,Bell,-37.74556799999999,145.000181,Dot Matrix,No,No
Bentleigh,Bentleigh,-37.91779299999996,145.03689400000007,LCD,Yes,Yes
Berwick,Berwick,-38.03968099999997,145.34497299999998,Dot Matrix,No,No
Bittern,Bittern,-38.33774699999998,145.1777390000001,No,No,No
Blackburn,Blackburn,-37.82015799999999,145.15019700000005,Dot Matrix,No,Yes
Bonbeach,Bonbeach,-38.062926000000004,145.11974500000008,Dot Matrix,No,No
Boronia,Boronia,-37.859830999999986,145.28429700000004,Dot Matrix,No,Yes
Box Hill,Box Hill,-37.81927399999995,145.1218,CRT,No,Yes
Brighton Beach,Brighton Beach,-37.92625499999997,144.989193,Dot Matrix,No,No
Broadmeadows,Broadmeadows,-37.683362999999986,144.91937000000007,Dot Matrix,No,No
Brunswick,Brunswick,-37.767944,144.95955800000002,No,No,No
Burnley,Burnley,-37.827631,145.0076200000001,Dot Matrix,No,No
Burwood,Burwood,-37.851350999999966,145.08036800000002,Dot Matrix,No,No
Camberwell,Camberwell,-37.826607999999965,145.0586820000001,Dot Matrix,No,No
Canterbury,Canterbury,-37.824703,145.08076900000003,No,No,No
Carnegie,Carnegie,-37.886236999999994,145.05857600000002,No,No,No
Carrum,Carrum,-38.07593699999995,145.122653,Dot Matrix,No,No
Caulfield,Caulfield,-37.87768299999999,145.04274600000008,Dot Matrix,No,No
Chatham,Chatham,-37.824276,145.08892300000002,No,No,No
Chelsea,Chelsea,-38.05239499999999,145.11623100000008,Dot Matrix,No,No
Cheltenham,Cheltenham,-37.966943999999955,145.05477200000007,Dot Matrix,No,No
Clayton,Clayton,-37.92470199999997,145.12056700000005,LCD,No,No
Clifton Hill,Clifton Hill,-37.78822399999996,144.995495,Dot Matrix,No,No
Coburg,Coburg,-37.742411000000004,144.963347,Dot Matrix,No,No
Collingwood,Collingwood,-37.80454299999997,144.993743,No,No,No
Craigieburn,Craigieburn,-37.602716999999984,144.94301200000007,Dot Matrix,Yes,No
Cranbourne,Cranbourne,-38.099177,145.28000700000007,Dot Matrix,No,No
Crib Point,Crib Point,-38.36620499999998,145.20423600000004,No,No,No
Croxton,Croxton,-37.76385399999998,144.99709900000005,LCD,No,No
Croydon,Croydon,-37.79575399999999,145.27988400000004,Dot Matrix,No,No
Dandenong,Dandenong,-37.989934000000005,145.20963900000004,Dot Matrix,No,Yes
Darebin,Darebin,-37.77481599999999,145.03862200000003,No,No,No
Darling,Darling,-37.868682999999976,145.06267300000002,Dot Matrix,No,No
Dennis,Dennis,-37.77918299999999,145.00824,LCD,No,No
Diamond Creek,Diamond Creek,-37.67332899999997,145.15873800000008,No,No,No
Diggers Rest,Diggers Rest,-37.62774299999995,144.71997900000008,Dot Matrix,No,No
Eaglemont,Eaglemont,-37.76377099999996,145.05370300000004,No,No,No
East Camberwell,East Camberwell,-37.825759000000005,145.06832400000008,No,No,No
East Malvern,East Malvern,-37.877025,145.06928500000004,No,No,No
East Richmond,East Richmond,-37.82646599999998,144.997254,Dot Matrix,No,No
Edithvale,Edithvale,-38.03813299999996,145.10852699999998,Dot Matrix,No,No
Elsternwick,Elsternwick,-37.88484799999998,145.00097300000004,Dot Matrix,No,No
Eltham,Eltham,-37.713438,145.14772600000003,Dot Matrix,No,No
Epping,Epping,-37.65301699999998,145.02860700000008,Dot Matrix,Yes,Yes
Essendon,Essendon,-37.75600799999995,144.916198,Dot Matrix,No,No
Fairfield,Fairfield,-37.77918599999998,145.016801,Dot Matrix,No,No
Fawkner,Fawkner,-37.71468199999998,144.96055,No,No,No
Ferntree Gully,Ferntree Gully,-37.88159299999995,145.29517099999998,Dot Matrix,No,No
Flagstaff,Flagstaff,-37.811826999999994,144.95644700000003,LCD,Yes,Yes
Flemington Bridge,Flemington Bridge,-37.78813699999995,144.93932200000006,No,No,No
Flinders Street,Flinders Street,-37.81832099999997,144.966997,LCD,Plat 1 only,Yes
Footscray,Footscray,-37.801694999999995,144.902378,Dot Matrix,Yes,Yes
Frankston,Frankston,-38.14326399999999,145.12601000000006,Dot Matrix,No,No
Gardenvale,Gardenvale,-37.89614799999998,145.00426900000002,No,No,No
Gardiner,Gardiner,-37.853275999999994,145.05162400000006,LCD,Yes,Yes
Ginifer,Ginifer,-37.75758099999996,144.80964300000005,LCD,Yes,Yes
Glen Iris,Glen Iris,-37.859307,145.058223,Dot Matrix,No,No
Glen Waverley,Glen Waverley,-37.87978499999997,145.1630590000001,Dot Matrix,No,No
