id,name,infoDisplay,hearingLoop,lift,latitude,longitude
STAT-1,Alamein,No,No,No,-37.86884299999997,145.07955800000002
STAT-2,Albion,Dot Matrix,No,No,-37.77765599999998,144.82470999999998
STAT-3,Alphington,Dot Matrix,No,No,-37.77839599999999,145.031251
STAT-4,Altona,LCD,No,No,-37.86724899999996,144.830604
STAT-5,Anstey,No,No,No,-37.761897999999974,144.96056099999998
STAT-6,Armadale,Dot Matrix,No,No,-37.856434999999976,145.01937400000008
STAT-7,Ascot Vale,No,No,No,-37.775420999999994,144.92188399999998
STAT-8,Ashburton,No,No,No,-37.861767999999984,145.081416
STAT-9,Aspendale,No,No,No,-38.02704499999999,145.10200700000007
STAT-10,Auburn,No,No,No,-37.82241099999999,145.045617
STAT-11,Balaclava,Dot Matrix,No,No,-37.86974699999996,144.993516
STAT-12,Batman,No,No,No,-37.73345899999998,144.96274700000004
STAT-13,Baxter,No,No,No,-38.194222999999965,145.160487
STAT-14,Bayswater,LCD,Yes,Yes,-37.84186299999999,145.26826700000004
STAT-15,Beaconsfield,No,No,No,-38.050928,145.36604499999999
STAT-16,Belgrave,Dot Matrix,No,No,-37.90909899999997,145.35529100000008
STAT-17,Bell,Dot Matrix,No,No,-37.74556799999999,145.000181
STAT-18,Bentleigh,LCD,Yes,Yes,-37.91779299999996,145.03689400000007
STAT-19,Berwick,Dot Matrix,No,No,-38.03968099999997,145.34497299999998
STAT-20,Bittern,No,No,No,-38.33774699999998,145.1777390000001
STAT-21,Blackburn,Dot Matrix,No,Yes,-37.82015799999999,145.15019700000005
STAT-22,Bonbeach,Dot Matrix,No,No,-38.062926000000004,145.11974500000008
STAT-23,Boronia,Dot Matrix,No,Yes,-37.859830999999986,145.28429700000004
STAT-24,Box Hill,CRT,No,Yes,-37.81927399999995,145.1218
STAT-25,Brighton Beach,Dot Matrix,No,No,-37.92625499999997,144.989193
STAT-26,Broadmeadows,Dot Matrix,No,No,-37.683362999999986,144.91937000000007
STAT-27,Brunswick,No,No,No,-37.767944,144.95955800000002
STAT-28,Burnley,Dot Matrix,No,No,-37.827631,145.0076200000001
STAT-29,Burwood,Dot Matrix,No,No,-37.851350999999966,145.08036800000002
STAT-30,Camberwell,Dot Matrix,No,No,-37.826607999999965,145.0586820000001
STAT-31,Canterbury,No,No,No,-37.824703,145.08076900000003
STAT-32,Carnegie,No,No,No,-37.886236999999994,145.05857600000002
STAT-33,Carrum,Dot Matrix,No,No,-38.07593699999995,145.122653
STAT-34,Caulfield,Dot Matrix,No,No,-37.87768299999999,145.04274600000008
STAT-35,Chatham,No,No,No,-37.824276,145.08892300000002
STAT-36,Chelsea,Dot Matrix,No,No,-38.05239499999999,145.11623100000008
STAT-37,Cheltenham,Dot Matrix,No,No,-37.966943999999955,145.05477200000007
STAT-38,Clayton,LCD,No,No,-37.92470199999997,145.12056700000005
STAT-39,Clifton Hill,Dot Matrix,No,No,-37.78822399999996,144.995495
STAT-40,Coburg,Dot Matrix,No,No,-37.742411000000004,144.963347
STAT-41,Collingwood,No,No,No,-37.80454299999997,144.993743
STAT-42,Craigieburn,Dot Matrix,Yes,No,-37.602716999999984,144.94301200000007
STAT-43,Cranbourne,Dot Matrix,No,No,-38.099177,145.28000700000007
STAT-44,Crib Point,No,No,No,-38.36620499999998,145.20423600000004
STAT-45,Croxton,LCD,No,No,-37.76385399999998,144.99709900000005
STAT-46,Croydon,Dot Matrix,No,No,-37.79575399999999,145.27988400000004
STAT-47,Dandenong,Dot Matrix,No,Yes,-37.989934000000005,145.20963900000004
STAT-48,Darebin,No,No,No,-37.77481599999999,145.03862200000003
STAT-49,Darling,Dot Matrix,No,No,-37.868682999999976,145.06267300000002
STAT-50,Dennis,LCD,No,No,-37.77918299999999,145.00824
STAT-51,Diamond Creek,No,No,No,-37.67332899999997,145.15873800000008
STAT-52,Diggers Rest,Dot Matrix,No,No,-37.62774299999995,144.71997900000008
STAT-53,Eaglemont,No,No,No,-37.76377099999996,145.05370300000004
STAT-54,East Camberwell,No,No,No,-37.825759000000005,145.06832400000008
STAT-55,East Malvern,No,No,No,-37.877025,145.06928500000004
STAT-56,East Richmond,Dot Matrix,No,No,-37.82646599999998,144.997254
STAT-57,Edithvale,Dot Matrix,No,No,-38.03813299999996,145.10852699999998
STAT-58,Elsternwick,Dot Matrix,No,No,-37.88484799999998,145.00097300000004
STAT-59,Eltham,Dot Matrix,No,No,-37.713438,145.14772600000003
STAT-60,Epping,Dot Matrix,Yes,Yes,-37.65301699999998,145.02860700000008
STAT-61,Essendon,Dot Matrix,No,No,-37.75600799999995,144.916198
STAT-62,Fairfield,Dot Matrix,No,No,-37.77918599999998,145.016801
STAT-63,Fawkner,No,No,No,-37.71468199999998,144.96055
STAT-64,Ferntree Gully,Dot Matrix,No,No,-37.88159299999995,145.29517099999998
STAT-65,Flagstaff,LCD,Yes,Yes,-37.811826999999994,144.95644700000003
STAT-66,Flemington Bridge,No,No,No,-37.78813699999995,144.93932200000006
STAT-67,Flinders Street,LCD,Plat 1 only,Yes,-37.81832099999997,144.966997
STAT-68,Footscray,Dot Matrix,Yes,Yes,-37.801694999999995,144.902378
STAT-69,Frankston,Dot Matrix,No,No,-38.14326399999999,145.12601000000006
STAT-70,Gardenvale,No,No,No,-37.89614799999998,145.00426900000002
STAT-71,Gardiner,LCD,Yes,Yes,-37.853275999999994,145.05162400000006
STAT-72,Ginifer,LCD,Yes,Yes,-37.75758099999996,144.80964300000005
