id,name,address,keyRequired,openHours,parkInfo,gender,access,latitude,longitude
4363,Flinders Street Station,Flinders Street,False,OPEN: Variable hours,"No Parking, Parking Accessible","Male, Female",Accessible,-37.81823386,144.9669741
4367,Melbourne Central City Loop,La Trobe Street,False,"OPEN: Mon-Sat 5:30am-12am, Sun 8:30am-11pm","No Parking, Parking Accessible","Male, Female",Accessible,-37.80981201,144.9628186
4395,Flagstaff City Loop,La Trobe Street,False,OPEN: Mon-Fri 5:30am-12am,"No Parking, Parking Accessible","Male, Female",Accessible,-37.81195695,144.9561421
11517,Melbourne Town Hall,200 Collins Street,False,OPEN: 7am-7pm,"No Parking, Parking Accessible","Male, Female",Information not available,-37.81514484,144.96694425
11518,General Post Office (Underground),Elizabeth & Bourke Street,False,"OPEN: Mon-Fri 7:30am-6pm, Sat-Sun 8:30am-5pm","No Parking, Parking Accessible","Male, Female",Information not available,-37.81380315,144.96313336
11521,Yarra River Bank,Batman Avenue,False,OPEN: 24 hours,"No Parking, Parking Accessible",Unisex,Information not available,-37.82100129,144.97594036
11522,Toilet 3 : Queensbridge Street,Queensbridge Street & Flinders Street,False,Currently closed,"No Parking, Parking Accessible","Male, Female",Accessible,-37.81940044,144.96128142
11528,La Trobe Street,La trobe Street & Russell Street,False,OPEN: 24 hours,"No Parking, Parking Accessible",Male,Information not available,-37.80891248,144.96567163
11532,Flinders Street,Exhibition Street & Flinders Street,False,OPEN: 24 hours,"No Parking, Parking Accessible",Male,Information not available,-37.81598252,144.97282423
11535,Queensberry Street,278-284 Queensberry Street,False,OPEN: 24 hours,"No Parking, Parking Accessible",Male,Information not available,-37.8039452,144.95905008
11538,585 Lonsdale Street,King Street & Lonsdale Street,False,OPEN: 24 hours,"Parking, Parking Accessible",Unisex,Accessible,-37.81434326,144.95511454
11981,Bowen Crescent Reserve,Bowen Crescent,False,OPEN: Daylight hours,"Parking, Parking Accessible","Male, Female",Information not available,-37.83553499,144.97331236
12601,Riverslide Skate Park,1 Boathouse Drive,False,OPEN: 24 hours,"Parking, Parking Accessible","Male, Female",Accessible,-37.8203652,144.9733432
12602,Kings Domain,Alexandra Avenue,False,OPEN: 24 hours,"No Parking, Parking Accessible","Male, Female",Accessible,-37.8228095,144.9751411
12604,Kings Domain Shrine of Remembrance,Kings Domain South 44-200 Domain Road MELBOURNE VIC 3004,False,OPEN: 6am-9pm,"Parking, Parking Accessible","Male, Female",Accessible,-37.83058305,144.9753548
13626,Station Pier - Outer West,Pier Street,False,Currently closed,"No Parking, Parking Accessible","Male, Female",Accessible,-37.8461487,144.9306358
16974,Exhibition Street & Lonsdale Street,Lonsdale Street & Exhibition Street,False,OPEN: 24 hours,"No Parking, Parking Accessible",Unisex,Accessible,-37.81002923,144.96992451
17333,Swanston Street & Victoria Street,Swanston Street,False,OPEN: 7am-5pm,"No Parking, Parking Accessible",Female,Information not available,-37.80686945,144.96265666
17608,Toilet 4 : Market Street & Collins Street,Market Street & Collins Street,False,Currently closed,"No Parking, Parking Accessible",Unisex,Accessible,-37.81756139,144.96030886
17674,Government House Drive,"Government House Drive, Kings Domain",False,OPEN: 24 hours,"No Parking, Parking Accessible","Male, Female",Information not available,-37.8269196,144.9746481
17678,Exhibition Street,Across from 265 Exhibition Street,False,OPEN: 24 hours,"No Parking, Parking Accessible",Male,Information not available,-37.8094781,144.96934102
18175,Collins Place,45 Collins Street,False,OPEN: 24 hours,"Parking, Parking Accessible","Male, Female",Accessible,-37.814009,144.972077
