FacilityID,Name,FacilityType,Address1,Town,Latitude,Longitude,Parking,ParkingAccessible,KeyRequired,OpeningHours,Male,Female,Unisex,AllGender,Accessible,LHTransfer,RHTransfer
4363,Flinders Street Station,Train station,Flinders Street,Melbourne,-37.81823386,144.9669741,FALSE,FALSE,FALSE,OPEN: Variable hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
4367,Melbourne Central City Loop,Train station,La Trobe Street,Melbourne,-37.80981201,144.9628186,FALSE,FALSE,FALSE,"OPEN: Mon-Sat 5:30am-12am, Sun 8:30am-11pm",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
4395,Flagstaff City Loop,Train station,La Trobe Street,Melbourne,-37.81195695,144.9561421,FALSE,FALSE,FALSE,OPEN: Mon-Fri 5:30am-12am,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11517,Melbourne Town Hall,Other,200 Collins Street,Melbourne,-37.81514484,144.9669443,FALSE,TRUE,FALSE,OPEN: 7am-7pm,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11518,General Post Office (Underground),Other,Elizabeth & Bourke Street,Melbourne,-37.81380315,144.9631334,FALSE,FALSE,FALSE,"OPEN: Mon-Fri 7:30am-6pm, Sat-Sun 8:30am-5pm",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11521,Yarra River Bank,Park or reserve,Batman Avenue,Melbourne,-37.82100129,144.9759404,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
11522,Toilet 3 : Queensbridge Street,Other,Queensbridge Street & Flinders Street,Melbourne,-37.81940044,144.9612814,FALSE,FALSE,FALSE,Currently closed,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11528,La Trobe Street,Other,La trobe Street & Russell Street,Melbourne,-37.80891248,144.9656716,FALSE,FALSE,FALSE,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11532,Flinders Street,Other,Exhibition Street & Flinders Street,Melbourne,-37.81598252,144.9728242,FALSE,FALSE,FALSE,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11535,Queensberry Street,Other,278-284 Queensberry Street,Melbourne,-37.8039452,144.9590501,FALSE,FALSE,FALSE,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11538,585 Lonsdale Street,Car park,King Street & Lonsdale Street,Melbourne,-37.81434326,144.9551145,TRUE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
11981,Bowen Crescent Reserve,Park or reserve,Bowen Crescent,Melbourne,-37.83553499,144.9733124,TRUE,TRUE,FALSE,OPEN: Daylight hours,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12601,Riverslide Skate Park,Park or reserve,1 Boathouse Drive,Melbourne,-37.8203652,144.9733432,TRUE,TRUE,FALSE,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
12602,Kings Domain,Park or reserve,Alexandra Avenue,Melbourne,-37.8228095,144.9751411,FALSE,FALSE,FALSE,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
12604,Kings Domain Shrine of Remembrance,Park or reserve,Kings Domain South 44-200 Domain Road MELBOURNE VIC 3004,Melbourne,-37.83058305,144.9753548,TRUE,FALSE,FALSE,OPEN: 6am-9pm,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
13626,Station Pier - Outer West,Other,Pier Street,Melbourne,-37.8461487,144.9306358,FALSE,FALSE,FALSE,Currently closed,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
16974,Exhibition Street & Lonsdale Street,Other,Lonsdale Street & Exhibition Street,Melbourne,-37.81002923,144.9699245,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
17333,Swanston Street & Victoria Street,Other,Swanston Street,Melbourne,-37.80686945,144.9626567,FALSE,FALSE,FALSE,OPEN: 7am-5pm,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
