,Property ID,Building name,Street address,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,x coordinate,y coordinate,Street level
0,108082,Unknown building name,341-351 Queen Street MELBOURNE 3000,10.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9583,-37.8104,Queen Street
1,103168,EXCELSIOR HOUSE,17-19 Elizabeth Street MELBOURNE 3000,7.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9644,-37.8177,Elizabeth Street
2,109304,Unknown building name,301-303 Swanston Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9642,-37.8111,Swanston Street
3,103954,TAVISTOCK HOUSE,381-387 Flinders Lane MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9614,-37.8183,Flinders Lane
4,105477,Unknown building name,378-384 La Trobe Street MELBOURNE 3000,23.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9581,-37.8107,La Trobe Street
5,103319,CITY OF MELBOURNE CHAMBERS,112-118 Elizabeth Street MELBOURNE 3000,4.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9639,-37.8153,Elizabeth Street
6,107002,THE BOND STORE,22-30 Oliver Lane MELBOURNE 3000,4.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9702,-37.8159,Oliver Lane
7,100164,Unknown building name,144-148 A'Beckett Street MELBOURNE 3000,4.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9591,-37.8096,A'Beckett Street
8,103996,Unknown building name,490 Flinders Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.958,-37.82,Flinders Street
9,109316,RMIT BUILDING 37,411-423 Swanston Street MELBOURNE 3000,5.0,Educational/Research,Low level of accessibility,All entrances have steps,1.0,144.963,-37.8088,Swanston Street
10,102145,THE HOUR GLASS BUILDING,252 Collins Street MELBOURNE 3000,8.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9654,-37.8155,Collins Street
